Buy,ID,Gender,Status,Children,Est_Income,Age,MARITAL STATUS,PROFESSION,EDUCATION,BUYER CATEGORY,LTV,DEMOGRAPHIC CLUSTER,ONLINE BEHAVIOR CLUSTER,BUYING BEHAVIOR CLUSTER,Retailer country,Retailer type,Product line,Product type,Product,Year,Quarter,Gross margin,State
No,475,F,M,2,36647.9,49.986667,M,Self Employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2021,Q1 2021,0.47020434,Oregon
Yes,476,F,S,0,64319.2,41.226667,S,Not employed,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Cooking Gear,TrailChef Single Flame,2021,Q1 2021,0.26099426,Nevada
Yes,477,F,S,1,73338.0,48.246667,S,Private Sector,High School,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2021,Q1 2021,0.47089947,Oregon
Yes,478,F,S,0,433.74,60.746667,U,Pharmacist,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Tents,Star Lite,2021,Q1 2021,0.28144401,California
No,479,F,M,2,16962.2,45.36,S,Self Employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Tents,Star Gazer 2,2021,Q1 2021,0.28293788,Washington
Yes,481,M,M,2,10708.3,26.026667,M,Private Sector,High School,Product Viewer,LOW VALUE,MARRIED MEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Tents,Star Gazer 3,2021,Q1 2021,0.3306202,Oregon
No,484,F,M,0,2031.61,20.3,S,Not employed,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Tents,Star Gazer 6,2021,Q1 2021,0.3733775,California
No,488,F,S,2,16938.5,55.0,U,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Tents,Star Peg,2021,Q1 2021,0.48979592,California
No,491,F,M,0,55221.0,42.0,U,Not employed,High School,Repeat Buyer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Sleeping Bags,Hibernator,2021,Q1 2021,0.3769019,Arizona
No,492,F,M,1,8073.11,43.0,M,Doctor,College,Repeat Buyer,HIGH VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2021,Q1 2021,0.5440107,Arizona
No,493,M,M,1,95448.6,53.68,M,Not employed,College,Repeat Buyer,MEDIUM VALUE,HIGH INCOME FAMILY,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Sports Store,Camping Equipment,Packs,Canyon Mule Climber Backpack,2021,Q1 2021,0.31693989,California
No,494,M,S,1,24141.5,17.006667,S,Accountant,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2021,Q1 2021,0.4481739,Oregon
Yes,495,M,S,2,63152.6,63.173333,S,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2021,Q1 2021,0.50890117,Arizona
No,497,M,S,2,72084.7,55.64,M,Lawyer,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Packs,Canyon Mule Carryall,2021,Q1 2021,0.40396584,Arizona
Yes,498,F,S,0,42760.5,46.0,M,Self Employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Lanterns,Firefly 4,2021,Q1 2021,0.38853503,California
No,499,F,S,1,49072.0,47.0,M,Lawyer,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Lanterns,Firefly Extreme,2021,Q1 2021,0.43420523,Arizona
No,500,F,M,0,27371.8,48.0,U,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Camping Equipment,Lanterns,EverGlow Kerosene,2021,Q1 2021,0.35316947,Nevada
No,504,M,M,1,71472.9,41.913333,U,Lawyer,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Camping Equipment,Lanterns,EverGlow Butane,2021,Q1 2021,0.36186587,Washington
No,505,F,M,0,95405.7,42.0,M,Financial analyst,College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Camping Equipment,Lanterns,EverGlow Lamp,2021,Q1 2021,0.33395107,Oregon
No,506,F,S,0,95786.8,43.0,U,Professor,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Camping Equipment,Lanterns,Flicker Lantern,2021,Q1 2021,0.54112808,Arizona
Yes,508,M,S,0,90321.6,30.0,U,Doctor,College,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Mountain Man Analog,2021,Q1 2021,0.36722211,Washington
No,509,M,S,0,90478.6,54.553333,M,Professor,College,Visitor,MEDIUM VALUE,MARRIED MEN,VISITOR,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Mountain Man Digital,2021,Q1 2021,0.31342259,Oregon
Yes,510,F,M,2,56187.0,42.0,S,Professor,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Mountain Man Combination,2021,Q1 2021,0.52173451,Arizona
Yes,513,F,S,1,37000.0,24.393333,M,Financial analyst,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Mountain Man Extreme,2021,Q1 2021,0.5888535,Arizona
No,518,M,M,2,29616.0,49.426667,U,Engineer,College,Product Viewer,MEDIUM VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Venue,2021,Q1 2021,0.41971429,California
No,520,M,M,0,19732.8,50.673333,S,Engineer,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Infinity,2021,Q1 2021,0.47472727,Oregon
No,523,M,S,2,96.33,56.473333,U,Private Sector,High School,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Lux,2021,Q1 2021,0.47703349,Nevada
No,526,F,M,2,52004.8,25.14,U,Private Sector,High School,Visitor,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Sam,2021,Q1 2021,0.38841871,California
Yes,529,M,M,2,53010.8,18.84,S,Accountant,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,TX,2021,Q1 2021,0.45761543,Nevada
Yes,530,M,M,0,75004.5,64.8,S,Not employed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Legend,2021,Q1 2021,0.44619231,Washington
Yes,533,M,M,0,19749.3,60.366667,M,Nursing,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Watches,Kodiak,2021,Q1 2021,0.4505384,Washington
No,534,M,S,1,57626.9,43.906667,S,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Polar Sun,2021,Q1 2021,0.56618561,Arizona
Yes,535,M,M,2,20078.0,32.846667,S,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Polar Ice,2021,Q1 2021,0.51943907,Arizona
No,536,F,M,2,47902.0,26.033333,M,Scientist,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Bella,2021,Q1 2021,0.4557037,California
No,541,M,M,1,7545.96,16.753333,S,Doctor,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Capri,2021,Q1 2021,0.34020888,California
Yes,547,F,S,0,78851.3,48.373333,U,Financial analyst,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Cat Eye,2021,Q1 2021,0.33994883,Washington
Yes,548,F,S,1,17540.7,62.786667,U,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Dante,2021,Q1 2021,0.35748755,Oregon
Yes,549,F,M,0,83891.9,61.02,S,Not employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Inferno,2021,Q1 2021,0.39461538,California
No,550,F,M,2,28220.8,38.766667,U,Self Employed,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Zone,2021,Q1 2021,0.32486725,Oregon
No,552,F,S,0,28589.1,15.6,U,Financial analyst,College,Buyer,HIGH VALUE,MARRIED MEN,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Eyewear,Hawk Eye,2021,Q1 2021,0.39975309,Arizona
No,554,F,M,2,5237.63,48.753333,M,Private Sector,High School,Repeat Buyer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Knives,Double Edge,2021,Q1 2021,0.28812786,Oregon
Yes,557,M,S,2,89459.9,53.28,S,Lawyer,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Knives,Edge Extreme,2021,Q1 2021,0.28895209,Arizona
Yes,560,F,S,1,13576.5,39.426667,U,Self Employed,Post College,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Knives,Bear Edge,2021,Q1 2021,0.40127226,California
Yes,561,F,S,0,81710.9,58.54,S,Engineer,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Knives,Bear Survival Edge,2021,Q1 2021,0.48126801,Washington
Yes,564,F,M,2,67388.0,53.12,S,Private Sector,High School,Visitor,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,VISITOR,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Knives,Pocket Gizmo,2021,Q1 2021,0.61725727,Arizona
Yes,565,F,M,1,57063.0,52.333333,S,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Binoculars,Seeker 35,2021,Q1 2021,0.28069112,Oregon
Yes,566,F,M,2,84166.1,54.013333,S,Accountant,College,Product Viewer,HIGH VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Binoculars,Seeker Mini,2021,Q1 2021,0.50267313,California
No,572,F,S,1,7737.94,42.666667,S,Self Employed,Post College,Visitor,MEDIUM VALUE,HIGH INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Binoculars,Ranger Vision,2021,Q1 2021,0.5350625,Nevada
Yes,573,M,S,2,100020.0,48.0,S,Not employed,High School,Product Viewer,HIGH VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Personal Accessories,Navigation,Glacier Basic,2021,Q1 2021,0.36988028,Oregon
Yes,574,F,M,2,45287.6,29.026667,S,Professor,College,Visitor,LOW VALUE,MIDDLE INCOME SINGLE,VISITOR,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Navigation,Trail Master,2021,Q1 2021,0.34767123,Washington
Yes,575,F,M,2,59613.1,34.32,M,Scientist,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Personal Accessories,Navigation,Trail Scout,2021,Q1 2021,0.35798319,Oregon
No,577,F,S,1,16326.7,50.613333,M,Doctor,College,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2021,Q1 2021,0.6893039,Washington
Yes,580,F,S,2,9559.78,51.38,M,Engineer,College,Repeat Buyer,MEDIUM VALUE,MARRIED MEN,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2021,Q1 2021,0.59587629,California
Yes,583,F,M,2,42031.8,50.753333,M,Professor,Post College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Outdoor Protection,Sunscreen,Sun Shelter 30,2021,Q1 2021,0.60638298,Oregon
Yes,585,F,M,2,83284.1,28.42,S,Professor,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Outdoor Protection,First Aid,Calamine Relief,2021,Q1 2021,0.52833333,Oregon
No,586,M,M,1,39229.1,26.26,S,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Outdoor Protection,First Aid,Insect Bite Relief,2021,Q1 2021,0.54,California
Yes,587,F,D,1,68427.4,42.393333,M,Doctor,College,Product Viewer,HIGH VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.49000785,Oregon
No,589,M,S,0,3601.71,49.266667,M,Not employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2021,Q1 2021,0.43751289,Oregon
No,591,F,S,0,98716.3,55.66,S,Engineer,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2021,Q1 2021,0.44955007,California
No,592,F,S,2,66182.7,62.48,S,Doctor,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,ONLINE HIGH VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.47786745,Oregon
No,593,F,S,2,84789.3,50.433333,M,Self Employed,College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.50617284,Oregon
No,595,F,M,2,35976.5,48.853333,M,Engineer,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Putters,Blue Steel Max Putter,2021,Q1 2021,0.45933212,Oregon
No,596,F,M,0,32703.1,64.92,U,Doctor,College,Product Viewer,LOW VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.70258852,Oregon
Yes,598,F,M,2,8204.72,52.973333,U,Not employed,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.46983672,California
Yes,599,M,M,1,97180.4,50.6,U,Not employed,College,Product Viewer,MEDIUM VALUE,MARRIED MEN,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Sports Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.602288,California
Yes,601,F,S,2,38280.0,33.74,S,Private Sector,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2021,Q1 2021,0.49600912,California
No,602,M,S,0,64136.6,61.106667,U,Engineer,College,Repeat Buyer,MEDIUM VALUE,MIDDLE INCOME SINGLE,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2021,Q1 2021,0.49684741,Arizona
No,604,F,M,2,45429.7,61.713333,U,Professor,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Tents,Star Dome,2021,Q1 2021,0.35277197,Arizona
Yes,606,F,S,0,25285.5,53.986667,S,Scientist,College,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Camping Equipment,Tents,Star Peg,2021,Q1 2021,0.48979592,Oregon
Yes,607,F,M,2,77551.1,33.6,U,Not employed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Sleeping Bags,Hibernator,2021,Q1 2021,0.3769019,California
Yes,608,F,M,0,38538.4,12.326667,U,Unemployed,High School,Repeat Buyer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,REPEAT BUYER,ONLINE MEDIUM VALUE NON OFFER SEEKER,United States,Department Store,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2021,Q1 2021,0.37984669,California
No,609,F,S,0,69350.5,57.42,S,Professor,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2021,Q1 2021,0.38805542,California
Yes,616,M,S,2,43634.5,21.78,S,Private Sector,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Packs,Canyon Mule Cooler,2021,Q1 2021,0.50890117,Nevada
No,620,F,S,1,13109.1,62.606667,M,Not employed,College,Repeat Buyer,HIGH VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Lanterns,Firefly Mapreader,2021,Q1 2021,0.52531646,Nevada
Yes,621,M,S,1,92647.5,56.046667,M,Accountant,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Lanterns,Firefly 2,2021,Q1 2021,0.37844892,Oregon
Yes,622,M,S,2,21021.6,62.753333,U,Self Employed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Camping Equipment,Lanterns,Firefly 4,2021,Q1 2021,0.37608319,California
No,623,M,S,0,74460.7,55.34,S,Self Employed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Personal Accessories,Watches,Mountain Man Analog,2021,Q1 2021,0.36722211,California
Yes,626,F,S,2,28787.4,41.666667,M,Lawyer,Post College,Product Viewer,LOW VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Personal Accessories,Watches,Mountain Man Deluxe,2021,Q1 2021,0.49126011,California
Yes,629,M,M,1,13091.6,59.126667,M,Self Employed,College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PROBABLE BUYER,INSTORE LOW VALUE NON OFFER SEEKER,United States,Department Store,Personal Accessories,Navigation,Glacier GPS,2021,Q1 2021,0.28415201,California
Yes,632,F,M,2,62061.8,45.92,S,Engineer,College,Product Viewer,LOW VALUE,MIDDLE INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2021,Q1 2021,0.72594752,Oregon
No,633,F,M,1,20550.9,22.12,S,Self Employed,Post College,Product Viewer,LOW VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,Sunscreen,Sun Shield,2021,Q1 2021,0.5257732,Arizona
No,636,M,M,2,1765.41,18.766667,S,Unemployed,High School,Product Viewer,LOW VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Outdoor Protection,First Aid,Aloe Relief,2021,Q1 2021,0.63288719,Arizona
No,639,F,S,2,19131.1,56.186667,U,Engineer,Post College,Product Viewer,HIGH VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2021,Q1 2021,0.40018978,California
No,645,M,M,2,42750.3,50.493333,M,Financial analyst,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2021,Q1 2021,0.44535634,California
No,647,F,S,2,2842.55,45.92,M,Unemployed,High School,Product Viewer,MEDIUM VALUE,MIDDLE INCOME SCHOOL EDUCATED,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2021,Q1 2021,0.50139812,Arizona
Yes,648,M,M,2,22358.1,52.626667,M,Doctor,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME FAMILY,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2021,Q1 2021,0.44845066,California
No,650,M,M,0,47870.8,27.26,S,Not employed,College,Buyer,HIGH VALUE,MIDDLE INCOME SINGLE,BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Course Pro Putter,2021,Q1 2021,0.51695502,California
Yes,651,F,S,2,6440.46,41.0,M,Professor,College,Repeat Buyer,MEDIUM VALUE,MARRIED WOMEN,REPEAT BUYER,ONLINE HIGH VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Putters,Blue Steel Putter,2021,Q1 2021,0.5204366,California
Yes,652,F,S,0,7325.5,36.92,S,Self Employed,Post College,Product Viewer,MEDIUM VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2021,Q1 2021,0.72868217,Oregon
No,654,M,M,2,28766.9,46.84,U,Engineer,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PROBABLE BUYER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2021,Q1 2021,0.51219512,California
Yes,656,M,M,1,5252.29,16.333333,M,Engineer,College,Product Viewer,LOW VALUE,MARRIED WOMEN,PRODUCT VIEWER,INSTORE MEDIUM VALUE OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2021,Q1 2021,0.61336955,California
Yes,660,M,M,2,91272.2,25.033333,U,Professor,Post College,Product Viewer,HIGH VALUE,HIGH INCOME SINGLE,PRODUCT VIEWER,INSTORE HIGH VALUE NON OFFER SEEKER,United States,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2021,Q1 2021,0.7680462,Nevada
